columnR1 columnR2 columnR3 columnR4 columnR5 roofControl1 roofControl2 shift kickerElev mass maxDispl elasticEnergy
0.996024 0.492525 0.29879 0.979072 0.554486 -0.675202 0.20877 0.981349 0.099174 6261.154023 3.624547 0.600821
0.618582 0.118735 0.663401 0.493554 0.670558 -0.097427 0.385999 1.250635 0.033283 5043.053143 7.259169 1.022334
0.128195 0.411333 0.878728 0.727474 0.308731 0.181035 -0.19388 0.845882 0.727335 5878.824108 5.786094 0.625084
0.283716 0.501425 0.701737 0.612849 0.69514 -0.964899 0.39665 0.867403 0.868731 2618.405318 5.095389 1.024647
0.575234 0.512889 0.19032 0.474989 0.852032 0.711438 -0.15641 0.393947 0.654177 2549.403475 5.186586 0.879068
0.549705 0.683222 0.263167 0.553841 0.675304 -0.67162 -0.243206 1.216428 0.789401 3499.713974 7.353515 1.354975
0.764923 0.759206 0.350281 0.761512 0.257141 -0.536543 -0.445812 0.154045 0.577835 3128.12136 4.176799 1.217657
0.72638 0.535386 0.374126 0.734725 0.715203 0.736237 0.256504 0.834361 0.85695 3130.10457 5.837431 0.926205
0.476454 0.985457 0.285898 0.811238 0.613801 -0.55579 0.034869 1.109831 0.872658 3558.015535 6.732625 1.231216
0.824123 0.315666 0.592663 0.105285 0.629861 -0.259599 0.258519 0.586132 0.427734 3406.030105 7.276735 1.097453
0.53103 0.396076 0.109709 0.513851 0.372157 0.685917 -0.426657 0.916282 0.89306 3441.246249 7.784267 1.232245
0.25673 0.778487 0.369988 0.557499 0.660609 -0.654502 0.004295 0.085345 0.733394 2295.416471 4.081456 1.25019
0.588281 0.898736 0.317098 0.935157 0.848556 0.841697 0.195512 0.415845 0.169976 2209.31664 5.052267 0.87574
0.612095 0.96186 0.90646 0.396389 0.361412 -0.190484 -0.259246 0.273362 0.461555 2889.993119 4.435461 0.761613
0.918717 0.355221 0.886388 0.685563 0.586134 -0.404737 0.017421 1.459809 0.65444 5181.4154 6.867411 1.099035
0.830298 0.972553 0.496329 0.307012 0.235146 0.2809 0.056872 0.243648 0.485156 2544.071844 6.840156 0.898996
0.889766 0.491239 0.579805 0.247789 0.774461 -0.933174 0.373138 0.523404 0.460627 1970.767862 5.651815 1.20841
0.931873 0.322372 0.108324 0.200003 0.671683 0.302988 -0.219108 0.614154 0.822965 3660.38641 8.965521 0.991429
0.564729 0.168081 0.76613 0.957756 0.650231 0.182864 0.472923 0.132255 0.130384 3121.182796 3.679156 0.722403
0.405827 0.308562 0.89373 0.739605 0.182545 -0.324862 0.036709 1.390075 0.354558 5382.635079 8.34394 1.276349
0.946923 0.221635 0.816686 0.486922 0.828396 -0.968478 0.429786 0.426076 0.460162 1804.91478 4.933376 1.134657
0.438856 0.610685 0.726869 0.87766 0.164575 -0.879392 0.281893 1.317088 0.133704 3550.697218 4.866726 1.016231
0.738132 0.667359 0.839839 0.810638 0.722752 0.036101 0.117222 0.143619 0.933098 1950.266458 2.088352 0.314398
0.817433 0.314995 0.159768 0.662685 0.366916 -0.195174 0.431865 0.967786 0.84379 4205.975917 6.569523 0.997196
0.363115 0.725442 0.332579 0.22806 0.696096 0.533436 0.423992 0.89842 0.11616 2870.871267 8.674999 1.186911
0.494153 0.370553 0.608741 0.467042 0.998131 0.672127 0.159336 1.126806 0.826684 3199.006829 7.256335 1.021196
0.139365 0.939205 0.485508 0.480289 0.639883 -0.499836 0.212151 1.474723 0.440902 12091.116383 2.981728 0.447216
0.981508 0.156953 0.740022 0.215973 0.86888 0.498727 -0.368537 0.937474 0.181117 3537.263563 8.711283 1.238261
0.393804 0.604915 0.239438 0.899309 0.55058 0.770152 0.318981 0.136569 0.345058 2138.782645 4.38707 0.941292
0.130226 0.289811 0.752198 0.127784 0.969765 -0.011658 0.387455 0.969279 0.619421 5977.937424 5.32904 0.609442
0.950751 0.195964 0.221427 0.114171 0.968154 -0.024892 0.064626 0.930754 0.743402 5370.306783 5.928909 0.635501
0.361697 0.656936 0.210427 0.240498 0.371992 -0.660231 -0.19063 0.73907 0.360011 2796.113087 7.98678 1.461415
0.967847 0.676017 0.488441 0.694627 0.78891 0.137772 -0.419152 0.475741 0.973915 3955.590188 4.658183 0.63448
0.608418 0.948524 0.511449 0.551885 0.648276 -0.162855 0.278643 0.382388 0.571634 3181.410734 4.688751 0.774455
0.495352 0.742956 0.730475 0.10617 0.900235 -0.675866 -0.075194 0.806497 0.56759 3506.36029 7.203544 1.261295
0.251491 0.854256 0.587914 0.543624 0.736478 -0.72449 0.229582 0.287216 0.277502 1940.798708 5.007561 1.242266
0.490922 0.88524 0.332643 0.334797 0.489567 0.477481 0.202469 0.295793 0.263533 2535.025229 6.006277 0.942385
0.343995 0.267207 0.254229 0.345316 0.39573 -0.734112 0.273076 0.344927 0.05713 2473.264215 4.451958 1.001706
0.95563 0.406829 0.762136 0.891933 0.366299 -0.264771 -0.088053 1.292517 0.751631 4670.011261 7.810803 1.026915
0.905029 0.581165 0.975447 0.280055 0.835778 -0.147182 -0.339155 0.104867 0.994318 2884.065052 3.460252 0.745831
0.252671 0.43573 0.945473 0.949653 0.643088 -0.819783 -0.173173 0.410226 0.769228 2150.049171 5.155886 1.176696
0.623634 0.967445 0.908788 0.589664 0.116158 0.199507 0.359866 0.004914 0.947836 2866.84367 3.444209 0.834255
0.797893 0.518023 0.169754 0.678295 0.767319 0.554802 -0.417144 1.149634 0.500744 3559.565446 7.732327 1.248499
0.661082 0.9538 0.96296 0.531452 0.926715 0.50641 0.261044 1.077752 0.555709 3310.708264 6.66021 0.892777
0.83382 0.51218 0.6124 0.827756 0.292667 -0.492939 -0.160981 0.343828 0.292383 3171.251852 5.419781 1.223049
0.20215 0.896132 0.65573 0.732058 0.525473 -0.546417 -0.017596 0.301458 0.205085 2865.922575 5.255347 1.153896
0.359892 0.806236 0.661415 0.513429 0.592083 -0.064374 -0.309676 0.347761 0.247824 3716.902258 3.779092 0.540876
0.651764 0.292459 0.241267 0.455116 0.437438 -0.338419 0.225799 1.198472 0.243976 4070.931751 8.579619 1.388588
0.252953 0.88708 0.89032 0.826311 0.372923 -0.106544 0.071028 0.810235 0.732283 3179.72843 8.129648 0.870276
0.984943 0.972257 0.983073 0.19028 0.194982 0.837107 0.435299 0.762282 0.542841 3641.478542 7.639916 1.254037
0.65587 0.769919 0.402285 0.41116 0.835638 -0.078243 -0.124682 0.180244 0.25307 1917.88954 2.796812 0.40456
0.243542 0.181499 0.8246 0.954467 0.859058 -0.081615 -0.029873 1.230654 0.963023 5983.074604 5.246584 0.612862
0.886696 0.707542 0.553509 0.949259 0.180707 -0.709661 0.26078 0.62356 0.884063 3156.850964 3.616086 0.862928
0.653783 0.913124 0.990536 0.336196 0.103562 0.249099 -0.10557 1.486146 0.643578 6673.624722 7.6824 1.057162
0.926488 0.831159 0.251112 0.420335 0.596863 0.981158 -0.038041 0.628115 0.302678 2627.186613 5.369276 0.998905
0.252361 0.310809 0.523373 0.364955 0.176217 0.714002 0.092271 1.233148 0.018954 4040.883911 9.542067 1.454595
0.505715 0.469141 0.548096 0.47984 0.93501 0.137646 -0.255866 1.396563 0.579142 4629.456067 7.173516 0.872455
0.775548 0.296552 0.941328 0.790307 0.599932 0.179387 -0.410255 1.451067 0.735323 5747.309959 6.850059 0.994395
0.544448 0.23363 0.223576 0.342668 0.693407 -0.947766 0.322967 1.247506 0.03193 4603.388859 5.746303 1.028671
0.928694 0.900014 0.879684 0.889917 0.559105 0.258323 -0.338477 1.01664 0.87121 4453.466274 5.602948 0.7726
0.792863 0.692559 0.969895 0.328915 0.305947 -0.402575 -0.398493 0.497955 0.796935 3536.036743 5.569228 1.138075
0.133197 0.928537 0.213813 0.280522 0.991767 0.30342 -0.084193 1.420483 0.449552 10884.418467 4.008223 0.509383
0.922809 0.945593 0.718548 0.43882 0.373138 -0.959848 0.375391 0.12114 0.991274 2005.92861 2.547162 0.921174
0.195657 0.233272 0.719586 0.144992 0.848072 0.291618 0.421678 0.798768 0.865441 3120.400323 9.067135 1.014261
0.821365 0.514634 0.593915 0.578193 0.69785 0.049662 0.04894 1.209957 0.331376 4599.401112 4.571044 0.556811
0.600121 0.903313 0.431522 0.239257 0.131613 -0.845485 -0.190611 1.113461 0.670293 3892.900356 7.064734 1.323969
0.250227 0.129195 0.798358 0.178076 0.380735 0.520612 -0.133332 0.440761 0.90249 3358.581739 8.16843 0.993218
0.992687 0.403877 0.822349 0.20646 0.145636 -0.218888 0.030203 1.048393 0.656511 4870.207185 10.492916 1.396113
0.414817 0.798537 0.482362 0.423297 0.668733 -0.091496 -0.185475 0.606424 0.498709 3127.58742 4.333112 0.505718
0.605883 0.306243 0.357553 0.700677 0.203779 0.299911 -0.058496 0.280414 0.572491 2515.555994 6.287752 0.869519
0.661282 0.78268 0.527263 0.691939 0.304612 -0.359434 -0.355444 0.82017 0.850304 3893.659979 5.99107 1.047697
0.940261 0.761755 0.375289 0.164119 0.3666 -0.80968 -0.214654 0.025174 0.956893 1744.396668 4.298571 1.549744
0.472086 0.96832 0.969197 0.255083 0.435906 0.334605 -0.305973 0.452147 0.655915 3523.088694 5.821336 0.914245
0.128537 0.999044 0.198273 0.294767 0.901438 -0.394528 0.236287 1.323718 0.272619 10904.90183 3.767803 0.505899
0.32677 0.979838 0.277267 0.760471 0.331675 -0.75357 0.049774 1.364678 0.800697 4219.856713 6.078406 1.17566
0.806478 0.488596 0.32311 0.110946 0.617461 0.378764 0.47809 0.979771 0.794117 3853.935811 8.820913 1.185347
0.894183 0.75924 0.361114 0.419522 0.83979 -0.024332 -0.157749 0.839535 0.575767 3497.393651 4.797514 0.523807
0.975077 0.960971 0.866846 0.405003 0.995107 -0.32905 -0.060035 0.938133 0.18743 4017.029177 6.889938 0.911244
0.382114 0.187195 0.896788 0.834118 0.959771 -0.247433 -0.119736 1.134305 0.362903 4949.848431 7.51842 0.896733
0.751225 0.91567 0.246148 0.932382 0.566783 -0.304513 -0.226865 1.492785 0.727629 4722.868775 7.653817 1.098433
0.322217 0.824487 0.483136 0.378078 0.783006 0.727662 -0.066654 1.391028 0.852265 4164.680831 7.806404 1.282615
0.693788 0.252856 0.122144 0.578343 0.571055 -0.709942 -0.467992 0.22493 0.491866 1925.366879 6.671046 1.46873
0.109831 0.302719 0.89834 0.583325 0.22765 -0.141976 0.458697 1.437051 0.007255 10112.995881 4.31717 0.625142
0.569918 0.568124 0.98524 0.139284 0.274607 0.058995 -0.071702 0.280014 0.185168 3118.502508 5.531847 0.431824
0.728686 0.902335 0.765311 0.30718 0.158345 0.353013 -0.301524 0.145551 0.074994 2600.348543 5.616752 1.120119
0.957705 0.737743 0.131214 0.528063 0.987556 0.868604 -0.319779 0.6013 0.746779 2413.548117 6.483433 1.064814
0.244668 0.324436 0.345577 0.756305 0.145495 0.920556 -0.182367 1.101474 0.441474 3468.277908 7.983755 1.286794
0.325685 0.908416 0.568512 0.631389 0.559381 -0.154547 0.182926 1.382733 0.826526 5380.815698 7.236805 0.969759
0.519926 0.737223 0.765236 0.305286 0.719481 -0.384877 -0.313967 0.450618 0.714683 3179.249586 5.367537 1.00719
0.695597 0.236803 0.396237 0.739666 0.350198 -0.861485 0.281814 1.153932 0.018857 3196.234501 6.770347 1.260961
0.725606 0.633197 0.351845 0.307467 0.776793 -0.613627 0.161403 0.927551 0.473721 2869.084003 7.001561 1.333534
0.407608 0.917449 0.979504 0.350418 0.266252 0.091486 0.306691 1.390269 0.320254 6055.852818 6.495952 0.930891
0.44894 0.370193 0.194218 0.436274 0.249329 -0.318942 0.063368 0.565311 0.62919 3900.002339 7.093784 1.184842
0.151084 0.843086 0.768249 0.85773 0.593132 0.814092 -0.274966 1.26443 0.84548 9514.314472 3.040466 0.416587
0.996067 0.722653 0.711486 0.1958 0.39474 0.694865 -0.314807 1.339649 0.037731 8342.094247 4.773712 0.762534
0.610475 0.591714 0.768595 0.37678 0.787377 0.022198 0.008449 1.021292 0.78298 3471.505331 4.685849 0.554863
0.382343 0.745481 0.997821 0.931592 0.982067 -0.332227 -0.445659 1.445762 0.58594 5382.089409 5.393877 0.855843
0.979081 0.790417 0.448248 0.692833 0.216938 0.122963 0.062276 0.053035 0.48785 1624.308471 5.768192 0.769049
0.189024 0.807007 0.848266 0.928443 0.393154 -0.88858 -0.05963 0.704426 0.110214 4238.26089 3.917223 0.709232
0.511128 0.922682 0.921415 0.503652 0.26782 -0.33954 -0.328193 0.155397 0.534921 2898.263082 4.819866 1.142068
0.216493 0.859067 0.602445 0.769327 0.209658 -0.277474 -0.145979 0.609877 0.261805 3440.734706 8.425115 1.19859
0.966169 0.165839 0.185704 0.11318 0.901274 -0.541226 0.349127 0.467552 0.268313 2813.677676 8.803977 1.36145
0.165551 0.708969 0.203306 0.629322 0.840008 -0.780819 -0.348527 0.474259 0.883582 3174.101336 5.258882 0.882102
0.382687 0.862666 0.394752 0.886264 0.970566 0.15137 -0.494606 0.000345 0.744506 3254.397874 3.367566 0.65871
0.449159 0.6438 0.352765 0.52783 0.845461 -0.667394 0.205669 1.043315 0.037044 2895.967807 6.113431 1.186556
0.117919 0.738588 0.944276 0.453787 0.582956 0.531125 -0.152276 1.037163 0.42499 8499.018585 3.385367 0.387341
0.335144 0.31885 0.681916 0.696683 0.564292 -0.319547 0.399929 0.983517 0.12453 3835.689689 6.158559 1.049261
0.667067 0.59191 0.535445 0.324526 0.106424 -0.027475 0.452895 1.149245 0.788453 5900.356721 5.410042 0.861694
0.929493 0.48186 0.852905 0.435744 0.228439 0.135337 -0.355641 0.679828 0.23948 4165.91358 6.988326 0.960257
0.163865 0.543784 0.558886 0.602819 0.889823 -0.40068 -0.195112 0.724084 0.12602 4138.108555 6.228446 0.882909
0.564483 0.911189 0.178485 0.253495 0.663012 0.291132 0.264572 0.078939 0.851787 1565.097857 5.771564 0.87218
0.127389 0.502587 0.976563 0.714559 0.163413 0.033965 0.416114 0.477831 0.460211 4123.233938 5.419191 0.735073
0.816758 0.14016 0.717138 0.412619 0.568115 -0.039827 0.23533 1.118017 0.952127 4132.175444 7.671611 0.958407
0.487425 0.514244 0.671738 0.192071 0.530837 -0.667457 -0.379365 1.476852 0.095897 7576.666969 4.926547 0.878091
0.996581 0.354817 0.654618 0.47508 0.720445 0.78402 0.231929 0.961341 0.792654 3243.374719 6.158331 0.966932
0.825627 0.873917 0.46241 0.426313 0.254832 0.83602 -0.206047 0.4558 0.777413 2860.899268 4.657002 0.956498
0.214245 0.221003 0.398843 0.397365 0.628165 0.113362 -0.182562 0.399512 0.025447 3026.408131 5.876565 0.555859
0.67452 0.327507 0.103045 0.292063 0.934984 -0.300175 -0.174203 0.704624 0.930106 3095.522449 9.892829 1.173579
0.875894 0.694094 0.681708 0.820135 0.62765 -0.029117 0.23902 1.214305 0.996755 5024.855037 5.40851 0.663826
0.4405 0.543367 0.959692 0.210447 0.653608 0.25672 0.24411 0.351149 0.7539 2099.842204 6.58723 0.751137
0.650564 0.474046 0.555202 0.250617 0.836117 0.525434 0.055274 0.258215 0.746744 2533.190742 5.018458 0.803961
0.169228 0.54093 0.795233 0.365334 0.492663 -0.322365 0.304308 1.430828 0.789852 7454.835213 4.532888 0.712929
0.515773 0.932908 0.714981 0.848865 0.625909 -0.957203 -0.437266 0.515408 0.92687 2030.048889 4.87405 1.148327
0.947727 0.590596 0.635824 0.549407 0.341122 -0.763678 -0.197534 1.280641 0.753893 3237.936271 6.997202 1.408982
0.9048 0.647695 0.675613 0.831769 0.716018 0.546985 0.317102 1.038474 0.173118 3286.116582 6.561893 0.943962
0.935883 0.844378 0.676311 0.202411 0.543629 0.696017 0.363122 0.280157 0.919372 2377.974078 5.575593 1.055608
0.27499 0.69175 0.550207 0.681651 0.117848 -0.684254 -0.34144 1.359685 0.430232 4627.866763 7.148348 1.36105
0.736857 0.933255 0.26908 0.649115 0.636941 0.358221 0.093767 0.002542 0.237407 1751.442693 5.003785 0.955011
0.407885 0.112044 0.392443 0.574484 0.77941 -0.846425 -0.482137 0.069449 0.947283 1584.407689 5.223784 1.427215
0.754417 0.764051 0.271533 0.761419 0.566682 0.548036 0.072987 1.471054 0.4246 4680.032587 7.479552 1.163882
0.944852 0.898476 0.858719 0.902102 0.333961 -0.966176 -0.365279 0.465777 0.795464 2043.885272 4.572698 1.189135
0.739512 0.237522 0.118335 0.107961 0.430076 0.082817 0.313959 0.919017 0.068495 4422.530199 9.002233 1.03915
0.661022 0.535428 0.873126 0.534779 0.94657 -0.91326 -0.291758 0.594813 0.037624 2002.515064 5.592066 1.199361
0.326762 0.485018 0.171896 0.173865 0.808269 -0.942945 -0.261144 1.076357 0.185036 3477.198789 7.175524 1.25332
0.969359 0.892466 0.665602 0.612728 0.73985 -0.573106 -0.176719 0.1746 0.909454 2668.068174 4.262499 1.100768
0.137001 0.481478 0.584128 0.556276 0.111255 -0.667354 0.096126 1.071339 0.135898 6538.502686 3.886173 0.615934
0.323315 0.991434 0.935451 0.435843 0.773688 0.145889 0.45472 1.072435 0.24586 5063.396072 6.03202 0.828533
0.816694 0.583179 0.508047 0.694916 0.387104 -0.500435 -0.087103 0.466435 0.181458 3459.979204 5.305743 1.140233
0.806276 0.446369 0.115849 0.652564 0.117733 -0.956019 -0.322016 0.41193 0.360208 2343.551881 5.838936 1.181573
0.393675 0.95984 0.618254 0.161133 0.964511 -0.612283 -0.101327 0.376712 0.240761 2904.335534 6.515902 1.109114
0.855222 0.288975 0.174394 0.720665 0.931162 0.357343 0.412762 0.674166 0.037487 5561.202997 4.459895 0.46534
0.921999 0.802198 0.900468 0.274038 0.130109 0.38858 0.371059 0.174646 0.649451 2139.953456 7.110369 1.26892
0.403349 0.435151 0.605503 0.732987 0.783808 -0.565148 0.000093 1.361106 0.341878 3895.967745 7.022578 1.256961
